,publisher,author,isbn,date,title,weeks_on_list,no_of_words_title
811,Jove,Jayne Castle,None,2015-08-16,SIREN'S CALL,1,2
812,Minotaur,C J Box,146688150X,2015-08-16,BADLANDS,1,1
813,Zebra/Mulholland,Lisa Jackson,1420136062,2015-08-16,NEVER DIE ALONE,1,3
814,NAL,JR Ward,None,2015-08-16,THE BOURBON KINGS,1,3
815,Bantam,Kathy Reichs,0345544056,2015-08-09,SPEAKING IN BONES,1,3
816,Crown,Ernest Cline,0804137250,2015-08-02,ARMADA,1,1
817,Jove,Christine Feehan,None,2015-07-26,EARTH BOUND,1,2
818,Forever,Kristen Ashley,None,2015-07-19,RIDE STEADY,1,2
819,Dutton,Brad Taylor,None,2015-07-19,THE INSIDER THREAT,1,3
820,HQN,Susan Mallery,None,2015-07-19,KISS ME,1,2
821,Zebra,Fern Michaels,1420135953,2015-07-19,IN PLAIN SIGHT,1,3
822,Bantam,Janet Evanovich and Phoef Sutton,0553392727,2015-07-12,WICKED CHARMS,1,2
823,Avon,Maya Banks,0062312510,2015-07-12,SAFE AT LAST,1,3
824,Ballantine,Jude Deveraux,0345541863,2015-07-12,EVER AFTER,1,2
825,Berkley,Laurell K Hamilton,0698140303,2015-06-28,DEAD ICE,1,2
826,Signet,Mary Balogh,None,2015-06-28,ONLY A PROMISE,1,3
827,Denise Grover Swank,Denise Grover Swank,1939996236,2015-06-28,THE SUBSTITUTE,1,2
828,Dutton,Joseph Finder,069819084X,2015-06-28,THE FIXER,1,2
829,Signet,K Bromberg,None,2015-06-21,SWEET ACHE,1,2
830,Berkley,Nalini Singh,None,2015-06-21,SHARDS OF HOPE,1,3
831,Mira,Stephanie Laurens,0992278988,2015-06-14,A MATCH FOR MARCUS CYNSTER,1,5
832,Harlequin,Linda Lael Miller,1460381807,2015-06-14,THE MARRIAGE SEASON,1,3
833,Sydney Landon,Sydney Landon,None,2015-06-14,MENDED,1,1
834,Atria Books,Lisa Jewell,1476703019,2015-06-14,THE HOUSE WE GREW UP IN,1,6
835,Zebra,Kat Martin,None,2015-06-14,AGAINST THE TIDE,1,3
836,Doubleday,Lincoln Child,0385531419,2015-05-31,THE FORGOTTEN ROOM,1,3
837,Viking,Craig Johnson,0698157516,2015-05-31,DRY BONES,1,2
838,Grand Central,Jeffery Deaver,145551716X,2015-05-31,SOLITUDE CREEK,1,2
839,Hoover Ink,Colleen Hoover and Tarryn Fisher,None,2015-05-31,NEVER NEVER,1,2
840,Jove,Christine Feehan,None,2015-05-24,CAT'S LAIR,1,2
841,Atria,John Lescroart,None,2015-05-24,THE FALL,1,2
842,HQN,Susan Mallery,None,2015-05-17,HOLD ME,1,2
843,St. Martin's,Iris Johansen,1250020077,2015-05-17,YOUR NEXT BREATH,1,3
844,Elle Kennedy,Elle Kennedy,None,2015-05-17,THE MISTAKE,1,2
845,Denise Grover Swank,Denise Grover Swank,1939996260,2015-05-17,THIRTY-FOUR AND A HALF PREDICAMENTS,1,5
846,Rerum Industries,R L Mathewson,0988573237,2015-05-17,DOUBLE DARE,1,2
847,Putnam,Amanda Quick,1101621044,2015-05-10,GARDEN OF LIES,1,3
848,Morrow/HarperCollins,Jay Crownover,0062333089,2015-05-10,ASA,1,1
849,InterMix,Penelope Douglas,None,2015-05-10,AFLAME,1,1
850,Simon & Schuster,Christina Lauren,1476778019,2015-05-03,BEAUTIFUL SECRET,1,2
851,Aurora Rose Reynolds,Aurora Rose Reynolds,None,2015-05-03,UNTIL JULY,1,2
852,Ballantine,Jude Deveraux,None,2015-05-03,TRUE LOVE,1,2
853,Jove,Kay Hooper,None,2015-04-26,A DEADLY WEB,1,3
854,Atria,Abbi Glines,1476776105,2015-04-26,WHEN I'M GONE,1,3
855,Atlantic Monthly,Donna Leon,0802191835,2015-04-26,FALLING IN LOVE,1,3
856,Oak Press,Bella Andre,1938127595,2015-04-26,ALL I EVER NEED IS YOU,1,6
857,Berkley,Jill Shalvis,None,2015-04-26,STILL THE ONE,1,3
858,Berkley,Joanna Wylde,None,2015-04-26,SILVER BASTARD,1,2
859,New American Library,J R Ward,None,2015-04-19,THE SHADOWS,1,2
860,Minotaur,Steve Berry,1466862602,2015-04-19,THE PATRIOT THREAT,1,3
861,St. Martin's Griffin,Kylie Scott,1466854227,2015-04-19,DEEP,1,1
862,Avon,Eloisa James,None,2015-04-19,FOUR NIGHTS WITH THE DUKE,1,5
863,Del Rey,Peter V Brett,0804177473,2015-04-19,THE SKULL THRONE,1,3
864,Julia Kent,Julia Kent,None,2015-04-12,SHOPPING FOR A BILLIONAIRE,1,4
865,Kensington,Gregg Olsen,None,2015-04-12,A WICKED SNOW,1,3
866,Putnam,Randy Wayne White,None,2015-04-12,CUBA STRAITS,1,2
867,Simon & Schuster,Katy Evans,1501101560,2015-04-12,MANWHORE,1,1
868,Harper,Jacqueline Winspear,0062220578,2015-04-05,A DANGEROUS PLACE,1,3
869,Harper,Michael Crichton,0061750239,2015-04-05,PREY,1,1
870,Kristen Ashley,Kristen Ashley,None,2015-04-05,SOARING,1,1
871,Pepper Winters,Pepper Winters,None,2015-04-05,MONSTERS IN THE DARK,1,4
872,Atria,Colleen Hoover,1476791465,2015-03-29,CONFESS,1,1
873,Ace,Patricia Briggs,None,2015-03-22,DEAD HEAT,1,2
874,Berkley,Marie Force,None,2015-03-22,AND I LOVE HER,1,4
875,Knopf,Kazuo Ishiguro,030727103X,2015-03-22,THE BURIED GIANT,1,3
876,St. Martin's Press,Jeffrey Archer,1250034507,2015-03-15,MIGHTIER THAN THE SWORD,1,4
877,Avon/HarperCollins,Lynsay Sands,None,2015-03-15,THE IMMORTAL WHO LOVED ME,1,5
878,Holt,Richard Price writing as Harry Brandt,1429974125,2015-03-08,THE WHITES,1,2
879,Forever/Grand Central,Jodi Ellen Malpas,1455559385,2015-03-01,ONE NIGHT: UNVEILED,1,3
880,Putnam,Alex Berenson,None,2015-03-01,TWELVE DAYS,1,2
881,Pocket Star,Christina Lauren,None,2015-02-22,BEAUTIFUL BELOVED,1,2
882,Science Future Press,J A Huss,1936413787,2015-02-22,"THREE, TWO, ONE",1,3
883,Jove,Christine Feehan,0698180569,2015-02-15,VIPER GAME,1,2
884,Jamie McGuire,Jamie McGuire,None,2015-02-15,BEAUTIFUL REDEMPTION,1,2
885,Avon/HarperCollins,Julia Quinn,None,2015-02-15,THE SECRETS OF SIR RICHARD KENWORTHY,1,6
886,Avon/HarperCollins,Jeaniene Frost,0062075829,2015-02-15,BOUND BY FLAMES,1,3
887,Avon/HarperCollins,Maya Banks,None,2015-02-15,IN HIS KEEPING,1,3
888,Delacorte,Karen Marie Moning,0440339812,2015-02-08,BURNED,1,1
889,St. Martin's,Sarah Addison Allen,1250019842,2015-02-08,FIRST FROST,1,2
890,Vintage,Rob Thomas and Jennifer Graham,None,2015-02-08,VERONICA MARS: MR. KISS AND TELL,1,6
891,Dutton,Tami Hoag,0698157273,2015-02-01,COLD COLD HEART,1,3
892,Harlequin,Marie Force,1426898762,2015-02-01,FATAL SCANDAL,1,2
893,Harper Sloan,Harper Sloan,None,2015-02-01,CORPS SECURITY: THE SERIES,1,4
894,Putnam,Jayne Ann Krentz,1101621001,2015-01-25,TRUST NO ONE,1,3
895,Del Rey,Pierce Brown,0345539826,2015-01-25,GOLDEN SON,1,2
896,Zebra/Kensington,Fern Michaels,None,2015-01-18,EYES ONLY,1,2
897,Dutton,Brad Taylor,None,2015-01-18,NO FORTUNATE SON,1,3
898,Putnam,W E B Griffin and William E Butterworth IV,None,2015-01-18,THE ASSASSINATION OPTION,1,3
899,Mira,Sherryl Woods,1460345797,2015-01-18,DOGWOOD HILL,1,2
900,Penguin Press,Phil Klay,1594204993,2015-01-04,REDEPLOYMENT,1,1
901,Jove,Laurell K Hamilton,None,2014-12-21,JASON,1,1
902,Atria,Abbi Glines,1476776083,2014-12-21,YOU WERE MINE,1,3
903,Ampersand,Kristen Pro,None,2014-12-21,FOREVER WITH ME,1,3
904,Harlequin,Gena Showalter,None,2014-12-14,THE DARKEST TOUCH,1,3
905,St. Martin's,Lisa Scottoline,1250027683,2014-12-14,BETRAYED,1,1
906,Avon/HarperCollins,Sarah MacLean,0062065416,2014-12-14,NEVER JUDGE A LADY BY HER COVER,1,7
907,Bantam,Janet Evanovich and Lee Goldberg,None,2014-12-07,THE JOB,1,2
908,Simon & Schuster,Richard Paul Evans,1476728208,2014-12-07,THE MISTLETOE PROMISE,1,3
909,Helen Cooper,Helen Cooper,1940218365,2014-11-23,ALPHA BILLIONAIRE 3,1,3
910,Deborah Bladon,Deborah Bladon,None,2014-11-23,RUIN: PART 3,1,3
911,Berkley,Marie Force,None,2014-11-23,I SAW HER STANDING THERE,1,5
912,Deborah Bladon,Deborah Bladon,None,2014-11-23,RUIN: PART 1,1,3
913,Gallery Books,Christina Lauren,1476777977,2014-11-23,DIRTY ROWDY THING,1,3
914,DAW,Patrick Rothfuss,None,2014-11-16,THE SLOW REGARD OF SILENT THINGS,1,6
915,Delacorte,Danielle Steel,None,2014-11-16,PEGASUS,1,1
916,Harlequin,Susan Mallery,1459256476,2014-11-16,YOURS FOR CHRISTMAS,1,3
917,Pantheon,Alexander McCall Smith,None,2014-11-16,THE HANDSOME MAN'S DE LUXE CAFÌä,1,6
918,Signet,Mary Balogh,0698156080,2014-11-16,ONLY ENCHANTING,1,2
919,Morrow,Jay Crownover,None,2014-11-09,ROWDY,1,1
920,Dial,Sophie Kinsella,081299387X,2014-11-09,SHOPAHOLIC TO THE STARS,1,4
921,Bella Andre,Bella Andre,None,2014-11-02,I LOVE HOW YOU LOVE ME,1,6
922,Ballantine,Debbie Macomber,None,2014-10-26,MR. MIRACLE,1,2
923,Berkley,Joanna Wylde,None,2014-10-26,REAPER'S STAND,1,2
924,Simon & Schuster,Zane,0743446577,2014-10-26,ADDICTED,1,1
925,New American Library,J R Ward,None,2014-10-26,IMMORTAL,1,1
926,Putnam,Catherine Coulter and J T Ellison,1101618752,2014-10-19,THE LOST KEY,1,3
927,St. Martin's,Iris Johansen,None,2014-10-19,THE PERFECT WITNESS,1,3
928,Scribner,Stephen King,150110442X,2014-10-19,A GOOD MARRIAGE,1,3
929,Harlequin,Kristan Higgins,1460340248,2014-10-19,IN YOUR DREAMS,1,3
930,Harper Sloan,Harper Sloan,None,2014-10-19,LOCKE,1,1
931,Bantam,Kathy Reichs,None,2014-10-12,BONES NEVER LIE,1,3
932,Kristen Ashley,Kristen Ashley,None,2014-10-12,DEACON,1,1
933,Ellora's Cave,Laurann Dohner,1419993186,2014-10-12,DARKNESS,1,1
934,Zebra,Fern Michaels,None,2014-10-05,TAKE DOWN,1,2
935,Putnam,Jonathan Kellerman and Jesse Kellerman,None,2014-10-05,THE GOLEM OF HOLLYWOOD,1,4
936,Harper Voyager,Kim Harrison,None,2014-09-28,THE WITCH WITH NO NAME,1,5
937,Touchstone,Philippa Gregory,None,2014-09-28,THE KING'S CURSE,1,3
938,Nan A. Talese/Doubleday,Ian McEwan,None,2014-09-28,THE CHILDREN ACT,1,3
939,Putnam,Reed Farrel Coleman,0698155629,2014-09-28,ROBERT B. PARKER'S BLIND SPOT,1,5
940,Viking,Tana French,None,2014-09-21,THE SECRET PLACE,1,3
941,Berkley,Christine Feehan,None,2014-09-21,DARK BLOOD,1,2
942,Random House,David Mitchell,1400065674,2014-09-21,THE BONE CLOCKS,1,3
943,Atria,Abbi Glines,None,2014-09-21,ONE MORE CHANCE,1,3
944,St. Martin's,Sherrilyn Kenyon,None,2014-09-21,SON OF NO ONE,1,4
945,Kensington,Fern Michaels,1420134965,2014-09-21,COUNTDOWN,1,1
946,Minotaur,Louise Penny,None,2014-09-14,THE LONG WAY HOME,1,4
947,Harlequin Mira,Ron Carr,None,2014-09-14,THE HOMECOMING,1,2
948,Jove,Jayne Castle,0698140958,2014-09-14,THE HOT ZONE,1,3
949,Orbit,Brent Weeks,0316235555,2014-09-14,THE BROKEN EYE,1,3
950,Kensington,Lisa Jackson,1617735183,2014-09-14,CLOSE TO HOME,1,3
951,Harlequin,Lori Foster,None,2014-09-14,NO LIMITS,1,2
952,Zebra,Fern Michaels,1420134957,2014-09-07,UPSIDE DOWN,1,2
953,Simon & Schuster,Matthew Thomas,None,2014-09-07,WE ARE NOT OURSELVES,1,4
954,Berkley,Maya Banks,None,2014-08-24,TAKING IT ALL,1,3
955,Gallery,Kresley Cole,1451649967,2014-08-24,DARK SKYE,1,2
956,Grand Central,Douglas Preston and Lincoln Child,None,2014-08-24,THE LOST ISLAND,1,3
957,Viking,Lev Grossman,1101633530,2014-08-24,THE MAGICIAN'S LAND,1,3
958,Tor/Tom Doherty,Terry Goodkind,None,2014-08-24,SEVERED SOULS,1,2
959,Dutton,Julie Garwood,None,2014-08-17,FAST TRACK,1,2
960,St. Martin's Griffin,Kylie Scott,None,2014-08-17,LEAD,1,1
961,Ace,Ilona Andrews,0698146409,2014-08-17,MAGIC BREAKS,1,2
962,Zebra,Lisa Jackson,None,2014-08-17,DESERVES TO DIE,1,3
963,Morrow/HarperCollins,J A Jance,None,2014-08-10,REMAINS OF INNOCENCE,1,3
964,Putnam,Stuart Woods,0698154088,2014-08-03,CUT AND THRUST,1,3
965,St. Martin's,Iris Johansen and Roy Johansen,1250020530,2014-08-03,SIGHT UNSEEN,1,2
966,Loveswept/Random House,Tracy Wolff,055339438X,2014-08-03,ADDICTED,1,1
967,Simon & Schuster,James Lee Burke,1476710813,2014-08-03,WAYFARING STRANGER,1,2
968,Laurelin Paige,Laurelin Paige,None,2014-07-27,HUDSON,1,1
969,Grand Central,Anne Rivers Siddons,0446565849,2014-07-27,THE GIRLS OF AUGUST,1,4
970,J. Daniels,J Daniels,None,2014-07-27,WHERE I BELONG,1,3
971,Kristen Ashley,Kristen Ashley,None,2014-07-27,THE PROMISE,1,2
972,Atria,Jamie McGuire,1476759596,2014-07-20,BEAUTIFUL OBLIVION,1,2
973,Bantam,Dean Koontz,034554594X,2014-07-20,THE CITY,1,2
974,Bantam,Dean Koontz,None,2014-07-20,THE NEIGHBOR,1,2
975,Various publishers,"Raine Miller, Cathryn Fox and others",None,2014-07-20,SPICE BOX,1,2
976,Dell,Mary Balogh,None,2014-07-20,THE ESCAPE,1,2
977,Berkley,Maya Banks,None,2014-07-13,WHEN DAY BREAKS,1,3
978,Harlequin,Susan Mallery,1460334574,2014-07-13,UNTIL WE TOUCH,1,3
979,Delacorte,Karin Slaughter,None,2014-07-13,COP TOWN,1,2
980,Gallery Books,Alice Clayton,None,2014-07-13,RUSTY NAILED,1,2
981,Zebra/Kensington,Fern Michaels,None,2014-07-13,KISS AND TELL,1,3
982,Del Rey,Kevin Hearne,0345548493,2014-07-06,SHATTERED,1,1
983,Meredith Wild,Meredith Wild,None,2014-07-06,HARDLINE,1,1
984,H. M. Ward,H M Ward,1630350281,2014-07-06,THE ARRANGEMENT 15,1,3
985,"Little, Brown",Elin Hilderbrand,None,2014-06-29,THE MATCHMAKER,1,2
986,Berkley,Laurell K Hamilton,0698146638,2014-06-22,A SHIVER OF LIGHT,1,4
987,St. Martin's,Mary Kay Andrews,None,2014-06-22,SAVE THE DATE,1,3
988,Berkley,Joanna Wylde,None,2014-06-22,DEVIL'S GAME,1,2
989,Random House,Alan Furst,0679604235,2014-06-22,MIDNIGHT IN EUROPE,1,3
990,Random House,Lisa See,None,2014-06-22,CHINA DOLLS,1,2
991,Jove,Christine Feehan,None,2014-06-15,AIR BOUND,1,2
992,Harlequin,Susan Mallery,1460332954,2014-06-15,BEFORE WE KISS,1,3
993,Simon & Schuster,Stephen Hunter,1451640269,2014-06-08,SNIPER'S HONOR,1,2
994,Whitney Williams,Whitney G,0990317013,2014-06-08,REASONABLE DOUBT: BOOK 2,1,4
995,Viking,Craig Johnson,0698163532,2014-06-01,ANY OTHER NAME,1,3
996,Morrow/HarperCollins,James Rollins and Grant Blackwood,0062135287,2014-06-01,THE KILL SWITCH,1,3
997,Knopf,Jo Nesbo,None,2014-06-01,THE SON,1,2
998,Roc,Jim Butcher,None,2014-06-01,STORM FRONT,1,2
999,Simon & Schuster,Richard Paul Evans,1451628315,2014-05-25,WALKING ON WATER,1,3
1000,Berkley,Maya Banks,None,2014-05-25,GIVING IN,1,2
1001,Mia Sheridan,Mia Sheridan,0692214844,2014-05-25,ARCHER'S VOICE,1,2
1002,Atria,Abbi Glines,1476775958,2014-05-25,RUSH TOO FAR,1,3
1003,Golden Unicorn,"JS Scott, M Malone and others",1939962447,2014-05-25,BEYOND DESIRE COLLECTION,1,3
1004,Atria,John Lescroart,1476709203,2014-05-25,THE KEEPER,1,2
1005,Harlequin,Susan Mallery,1460331184,2014-05-18,WHEN WE MET,1,3
1006,Jasinda Wilder,Jasinda Wilder,None,2014-05-18,ALPHA,1,1
1007,St. Martin's,Iris Johansen,None,2014-05-18,LIVE TO SEE TOMORROW,1,4
1008,Morrow/HarperCollins,Jay Crownover,None,2014-05-18,NASH,1,1
1009,Harlequin,Gena Showalter,1460331222,2014-05-18,BURNING DAWN,1,2
1010,Smashwords,"Bella Andre, Barbara Freethy and others",None,2014-05-18,A SWEET LIFE,1,3
1011,Avon/HarperCollins,Stephanie Laurens,0062066293,2014-05-18,THE MASTERFUL MR. MONTAGUE,1,4
1012,Knopf,Maeve Binchy,None,2014-05-11,CHESTNUT STREET,1,2
1013,Putnam,Amanda Quick,None,2014-05-11,OTHERWISE ENGAGED,1,2
1014,SOS Ladies,"Delilah Devlin, Sharon Hamilton and others",None,2014-05-11,SEALS OF SUMMER,1,3
1015,Harper,Kimberly McCreight,None,2014-05-11,RECONSTRUCTING AMELIA,1,2
1016,Dell,Diana Gabaldon,None,2014-05-04,THE SPACE BETWEEN,1,3
1017,Kristen Ashley,Kristen Ashley,None,2014-04-27,THE WILL,1,2
1018,Morrow/HarperCollins,Wiley Cash,0062088246,2014-04-27,A LAND MORE KIND THAN HOME,1,6
1019,Berkley Sensation,Jennifer Ashley,None,2014-04-20,WILD WOLF,1,2
1020,Ballantine,Debbie Macomber,0345549864,2014-04-13,BLOSSOM STREET BRIDES,1,3
1021,Carina Press,Marie Force,142689807X,2014-04-13,FATAL JEOPARDY,1,2
1022,Vintage,Rob Thomas and Jennifer Graham,0804170711,2014-04-13,VERONICA MARS: THE THOUSAND-DOLLAR TAN LINE,1,6
1023,Harlequin Mira,Ron Carr,1460328612,2014-04-13,FOUR FRIENDS,1,2
1024,St. Martin's,Jane Green,1466842032,2014-04-13,TEMPTING FATE,1,2
1025,Atria,Colleen Hoover,None,2014-04-06,MAYBE SOMEDAY,1,2
1026,Harper Perennial,Jess Walter,006209808X,2014-04-06,BEAUTIFUL RUINS,1,2
1027,Doubleday,Terry Pratchett,038553826X,2014-04-06,RAISING STEAM,1,2
1028,Minotaur,Olen Steinhauer,None,2014-04-06,THE CAIRO AFFAIR,1,3
1029,Grand Central,Jean Hanff Korelitz,1455599506,2014-04-06,YOU SHOULD HAVE KNOWN,1,4
1030,Harlequin,Sylvia Day,1459245997,2014-03-30,AFTERSHOCK,1,1
1031,Putnam,C J Box,0698150171,2014-03-30,STONE COLD,1,2
1032,JKB,K Bromberg,0989450244,2014-03-23,CRASHED,1,1
1033,Oak Press,Bella Andre,None,2014-03-23,JUST TO BE WITH YOU,1,5
1034,Debbie Macomber Books,Debbie Macomber,None,2014-03-16,FRIENDS AND THEN SOME,1,4
1035,HarperVoyager,Kim Harrison,0062300156,2014-03-16,THE UNDEAD POOL,1,3
1036,Atria,Abbi Glines,1476756562,2014-03-16,TAKE A CHANCE,1,3
1037,H. M. Ward Press,H M Ward,None,2014-03-16,THE ARRANGEMENT 14,1,3
1038,Kensington,Joanne Fluke,0758280394,2014-03-16,BLACKBERRY PIE MURDER,1,3
1039,Avon/HarperCollins,Lynsay Sands,0062078097,2014-03-09,VAMPIRE MOST WANTED,1,3
1040,Grand Central,Jill Shalvis,1455521140,2014-03-09,ONCE IN A LIFETIME,1,4
1041,Tor/Tom Doherty,David Weber,None,2014-03-09,LIKE A MIGHTY ARMY,1,4
1042,Touchstone,J A Jance,None,2014-03-09,MOVING TARGET,1,2
1043,Vintage Crime/Black Lizard,Jo Nesbo,0345807162,2014-03-02,COCKROACHES,1,1
1044,Putnam,Alex Berenson,None,2014-03-02,THE COUNTERFEIT AGENT,1,3
1045,HarperCollins,Tara Conklin,0062207520,2014-03-02,THE HOUSE GIRL,1,3
1046,Copper Key Media,KM Scott,None,2014-03-02,GIVE IN TO ME,1,4
1047,Berkley,Maya Banks,None,2014-02-23,LETTING GO,1,2
1048,Morrow/HarperCollins,J Lynn,None,2014-02-23,BE WITH ME,1,3
1049,Laree Bailey,H M Ward,1630350141,2014-02-23,THE ARRANGEMENT 13,1,3
1050,Forever,Kristen Ashley,None,2014-02-23,KALEIDOSCOPE,1,1
1051,Berkley,Lora Leigh,None,2014-02-23,RULE BREAKER,1,2
1052,Berkley Sensation,Marie Force,None,2014-02-23,ALL YOU NEED IS LOVE,1,5
1053,Avon/HarperCollins,Jeaniene Frost,None,2014-02-16,UP FROM THE GRAVE,1,4
1054,St. Martin's,Jeffrey Archer,None,2014-02-16,ONLY TIME WILL TELL,1,4
1055,Berkley,Joanna Wylde,None,2014-02-16,REAPER'S LEGACY,1,2
1056,Harlequin Mira,Sherryl Woods,1460325273,2014-02-16,HOME TO SEAVIEW KEY,1,4
1057,St. Martin's,Jeffrey Archer,1429949031,2014-02-16,THE SINS OF THE FATHER,1,5
1058,Laurens Publishing,Kathleen Brooks,None,2014-02-09,FINAL VOW,1,2
1059,Pocket Star,Kresley Cole,None,2014-02-09,"THE PROFESSIONAL, PART 3",1,4
1060,Pocket Books,VC Andrews,1451636946,2014-02-09,FLOWERS IN THE ATTIC,1,4
1061,HarperCollins,Helene Wecker,0062110853,2014-02-09,THE GOLEM AND THE JINNI,1,5
1062,Sprigleaf,Annette Blair and others,None,2014-02-02,SCANDALOUS BRIDES,1,2
1063,Dutton,Brad Taylor,None,2014-02-02,THE POLARIS PROTOCOL,1,3
1064,Delacorte,Alan Bradley,None,2014-02-02,THE DEAD IN THEIR VAULTED ARCHES,1,6
1065,Berkley,Christine Feehan,None,2014-01-26,DARK WOLF,1,2
1066,Berkley,Maya Banks,None,2014-01-26,AFTER THE STORM,1,3
1067,Putnam,Jayne Ann Krentz,None,2014-01-26,RIVER ROAD,1,2
1068,Morrow/HarperCollins,Jay Crownover,0062302396,2014-01-26,ROME,1,1
1069,Bantam,J Kenner,None,2014-01-26,WANTED,1,1
1070,Harper,Bernard Cornwell,006219934X,2014-01-26,THE PAGAN LORD,1,3
1071,Harlequin,Linda Lael Miller,1460323769,2014-01-19,BIG SKY SECRETS,1,3
1072,Putnam,W E B Griffin and William E Butterworth IV,None,2014-01-19,HAZARDOUS DUTY,1,2
1073,Atria,Jamie McGuire,1476759553,2013-12-29,A BEAUTIFUL WEDDING,1,3
1074,Ellora's Cave,Laurann Dohner,None,2013-12-29,TRUE,1,1
1075,Berkley,Sylvain Reynard,None,2013-12-22,GABRIEL'S REDEMPTION,1,2
1076,Bantam,J Kenner,0804180423,2013-12-22,TAKE ME,1,2
1077,Forever,Jessica Sorensen,None,2013-12-22,THE EVER AFTER OF ELLA AND MICHA,1,7
1078,Gallery Books,Katy Evans,None,2013-12-15,REMY,1,1
1079,Sandi Lynn,Sandi Lynn,None,2013-12-15,FOREVER US,1,2
1080,Harper,Adriana Trigiani,None,2013-12-15,THE SUPREME MACARONI COMPANY,1,4
1081,Simon & Schuster,Christina Lauren,1476751749,2013-12-08,BEAUTIFUL BEGINNING,1,2
1082,Gossamer,Melody Anne,1938786947,2013-12-01,SCORCHED,1,1
1083,Grand Central,J A Redmerski,1455549010,2013-11-24,THE EDGE OF ALWAYS,1,4
1084,Simon & Schuster,Katy Evans,None,2013-11-24,MINE,1,1
1085,Pantheon,Alexander McCall Smith,None,2013-11-24,THE MINOR ADJUSTMENT BEAUTY SALON,1,5
1086,Bantam,Dean Koontz,0804178615,2013-11-24,WILDERNESS,1,1
1087,Ace,Charlaine Harris,None,2013-11-17,AFTER DEAD,1,2
1088,Simon & Schuster,Christina Lauren,1476751412,2013-11-17,BEAUTIFUL PLAYER,1,2
1089,HarperCollins,Julia Quinn,0062072935,2013-11-17,THE SUM OF ALL KISSES,1,5
1090,Harlequin,Diana Palmer,1460320891,2013-11-17,WYOMING BOLD,1,2
1091,Howard Books,Karen Kingsbury,None,2013-11-17,FIFTEEN MINUTES,1,2
1092,Grand Central,Jessica Sorensen,1455574902,2013-11-10,THE TEMPTATION OF LILA AND ETHAN,1,6
1093,Dutton,Elizabeth George,None,2013-11-03,JUST ONE EVIL ACT,1,4
1094,Ballantine,Kristin Hannah,0345464249,2013-11-03,BETWEEN SISTERS,1,2
1095,Knopf,Jo Nesbo,0307960501,2013-11-03,POLICE,1,1
1096,Knopf,Anne Rice,None,2013-11-03,THE WOLVES OF MIDWINTER,1,4
1097,Ballantine,Debbie Macomber,0345545524,2013-10-27,STARRY NIGHT,1,2
1098,Knopf/McSweeney's,Dave Eggers,0385351402,2013-10-27,THE CIRCLE,1,2
1099,Vi Keeland,Vi Keeland,None,2013-10-27,WORTH THE FIGHT,1,3
1100,Tijan,Tijan,None,2013-10-27,CARTER REED,1,2
1101,St. Martin's,Iris Johansen,None,2013-10-20,SILENCING EVE,1,2
1102,Grand Central,Jeffery Deaver,1455576662,2013-10-20,THE OCTOBER LIST,1,3
1103,New American Library,Tara Sue Me,None,2013-10-20,THE TRAINING,1,2
1104,New American Library,J R Ward,None,2013-10-20,POSSESSION,1,1
1105,Atria,Abbi Glines,1476756538,2013-10-13,SIMPLE PERFECTION,1,2
1106,Avon/HarperCollins,Lynsay Sands,None,2013-10-13,ONE LUCKY VAMPIRE,1,3
1107,Harlequin,Susan Mallery,None,2013-10-13,CHRISTMAS ON 4TH STREET,1,4
1108,Grand Central,Jill Shalvis,None,2013-10-13,ALWAYS ON MY MIND,1,4
1109,Hyperion,Richard Castle,140130592X,2013-10-06,DEADLY HEAT,1,2
1110,Jen McLaughlin,Jen McLaughlin,None,2013-10-06,OUT OF LINE,1,3
1111,Penguin Press,Thomas Pynchon,1594204233,2013-10-06,BLEEDING EDGE,1,2
1112,Putnam,Michael Brandman,None,2013-09-29,ROBERT B. PARKER'S DAMNED IF YOU DO,1,7
1113,Zebra/Kensington,Fern Michaels,1420127950,2013-09-29,THE SCOOP,1,2
1114,St. Martin's,Sherrilyn Kenyon,None,2013-09-22,STYXX,1,1
1115,Berkley,Christine Feehan,None,2013-09-22,DARK LYCAN,1,2
1116,Gossamer,Melody Anne,1938786858,2013-09-22,SEDUCED,1,1
1117,Laree Bailey,HM Ward,None,2013-09-22,STRIPPED,1,1
1118,Berkley,M Leighton,None,2013-09-22,EVERYTHING FOR US,1,3
1119,Minotaur,Louise Penny,1466834706,2013-09-15,HOW THE LIGHT GETS IN,1,5
1120,Scribner,Kathy Reichs,None,2013-09-15,BONES OF THE LOST,1,4
1121,Jove,Jayne Castle,None,2013-09-15,DECEPTION COVE,1,2
1122,Harlequin,Linda Lael Miller,1460318064,2013-09-15,BIG SKY WEDDING,1,3
1123,Grand Central Publishing,Sandra Brown,None,2013-09-15,EXCLUSIVE,1,1
1124,Random House,Marisha Pessl,0679643915,2013-09-08,NIGHT FILM,1,2
1125,Bloomsbury,Samantha Shannon,1620401401,2013-09-08,THE BONE SEASON,1,3
1126,Maya Cross,Maya Cross,None,2013-09-08,UNLOCKED,1,1
1127,Tor/Tom Doherty,Terry Goodkind,1466826274,2013-09-08,THE THIRD KINGDOM,1,3
1128,Random House,Debbie Macomber,None,2013-09-01,ROSE HARBOR IN BLOOM,1,4
1129,Harlequin,Sylvia Day,1459245954,2013-09-01,AFTERBURN,1,1
